FUNCAO,M,N,SEED,REPETICAO,COLISOES,T_INS_MED,T_BUS_PRES_MED,NOS_BUS_PRES_MED,T_BUS_AUS_MED,NOS_BUS_AUS_MED,CHECKSUM
DIVISAO,1000,1000,170890,1,380,935.366000,1707.990000,1.528000,895.346000,1.076000,499577
DIVISAO,1000,1000,171890,2,379,261.553000,445.058000,1.510000,215.588000,0.952000,503968
DIVISAO,1000,1000,172890,3,368,132.248000,282.842000,1.468000,161.874000,0.992000,509134
DIVISAO,1000,1000,173890,4,365,137.517000,290.390000,1.504000,239.478000,0.962000,512003
DIVISAO,1000,1000,174890,5,349,154.101000,327.714000,1.474000,270.048000,0.958000,501935
DIVISAO,1000,10000,179890,1,9000,154.864900,384.571000,6.033200,633.830200,10.078200,4971991
DIVISAO,1000,10000,180890,2,9000,110.692200,254.959400,5.999600,325.570200,9.952200,5026673
DIVISAO,1000,10000,181890,3,9001,73.463400,143.227800,6.031400,228.902000,10.019200,4973944
DIVISAO,1000,10000,182890,4,9000,133.402300,233.577800,5.960600,285.674000,10.069400,5007669
DIVISAO,1000,10000,183890,5,9000,72.033900,240.963800,6.024800,274.143000,10.002600,5031029
DIVISAO,1000,100000,269890,1,99000,53.069820,2452.991380,50.975860,1562.260880,100.059240,49975793
DIVISAO,1000,100000,270890,2,99000,131.196750,2059.774180,50.992340,926.790540,99.979740,49986983
DIVISAO,1000,100000,271890,3,99000,71.017880,1351.125560,51.003180,451.195300,99.955420,49983773
DIVISAO,1000,100000,272890,4,99000,141.837150,1149.805180,51.039020,2408.420540,100.037060,49977583
DIVISAO,1000,100000,273890,5,99000,63.904950,1571.219960,50.991340,535.915920,99.954260,49936185
DIVISAO,10007,1000,179897,1,42,171.684000,135.544000,1.046000,147.728000,0.090000,5011272
DIVISAO,10007,1000,180897,2,49,104.983000,104.688000,1.044000,120.388000,0.084000,5048176
DIVISAO,10007,1000,181897,3,45,76.217000,76.062000,1.038000,113.346000,0.124000,5123268
DIVISAO,10007,1000,182897,4,47,69.209000,111.518000,1.058000,142.880000,0.108000,5073683
DIVISAO,10007,1000,183897,5,53,93.404000,57.004000,1.046000,83.370000,0.098000,4916480
DIVISAO,10007,10000,188897,1,3685,73.797200,209.451600,1.504400,252.721600,0.951200,49866178
DIVISAO,10007,10000,189897,2,3704,85.126200,275.011200,1.493400,161.964000,0.999200,50083983
DIVISAO,10007,10000,190897,3,3680,78.722100,250.323000,1.491400,246.474000,0.987800,50175715
DIVISAO,10007,10000,191897,4,3708,81.822000,307.494400,1.490600,265.752600,0.990400,50606442
DIVISAO,10007,10000,192897,5,3701,94.823900,249.991400,1.511400,252.340600,0.993800,49800312
DIVISAO,10007,100000,278897,1,89993,69.383310,782.149140,6.008000,557.907800,10.002440,499723317
DIVISAO,10007,100000,279897,2,89993,80.675180,391.862140,5.990560,485.731660,9.993380,500557643
DIVISAO,10007,100000,280897,3,89993,96.152860,295.691340,5.978020,403.315400,9.998380,500520007
DIVISAO,10007,100000,281897,4,89993,57.233290,531.716740,5.989840,554.548180,9.972520,499180486
DIVISAO,10007,100000,282897,5,89993,66.725330,376.078020,5.995060,449.217220,10.002280,500094566
DIVISAO,100003,1000,269893,1,6,158.317000,191.946000,1.008000,189.420000,0.014000,51456613
DIVISAO,100003,1000,270893,2,3,167.768000,175.506000,1.002000,225.298000,0.010000,51057903
